School Name,State Name [Public School] Latest available year,Agency ID - NCES Assigned [Public School] Latest available year,Location ZIP [Public School] 2018-19,School Type [Public School] 2018-19,Charter School [Public School] 2018-19,Magnet School [Public School] 2018-19,Shared Time School [Public School] 2018-19,Total Students All Grades (Excludes AE) [Public School] 2018-19,Free and Reduced Lunch Students [Public School] 2018-19,Grades 9-12 Students [Public School] 2018-19,Male Students [Public School] 2018-19,Female Students [Public School] 2018-19,Full-Time Equivalent (FTE) Teachers [Public School] 2018-19,Pupil/Teacher Ratio [Public School] 2018-19,School ID - NCES Assigned [Public School] Latest available year,ANSI/FIPS State Code [Public School] Latest available year
ADAMS CO JUVENILE DETENTION CNTR,Illinois,1733000,62305,1-Regular school,2-No,2-No,2-No,10,6,10,9,1,1.00,10.00,173300005082,17
ADAMS COUNTY RSSP,Illinois,1700162,62301,4-Alternative/other school,2-No,2-No,2-No,52,46,44,31,21,5.00,10.40,170016206022,17
ADAMS ELEM SCHOOL,Illinois,1722980,62656,1-Regular school,2-No,2-No,2-No,102,60,†,57,45,7.95,12.83,172298002536,17
ADAMS SCHOOL,Illinois,1724600,62922,1-Regular school,2-No,2-No,2-No,274,132,†,147,127,18.50,14.81,172460002662,17
ADDAMS ELEM SCHOOL,Illinois,1709930,60617,1-Regular school,2-No,2-No,2-No,679,600,†,348,331,37.50,18.11,170993000884,17
ADDISON EARLY LEARNING CENTER,ILLINOIS,1703150,60101,1-Regular school,2-No,2-No,2-No,170,101,†,108,62,11.15,15.25,170315006390,17
ADDISON TRAIL HIGH SCHOOL,Illinois,1713940,60101,1-Regular school,2-No,2-No,2-No,1999,1075,1999,1062,937,121.43,16.46,171394001737,17
ADLAI E STEVENSON HIGH SCHOOL,Illinois,1732580,60069,1-Regular school,2-No,2-No,2-No,4261,227,4261,2200,2061,278.70,15.29,173258003385,17
ADLAI STEVENSON ELEM SCHOOL,Illinois,1734740,60007,1-Regular school,2-No,2-No,2-No,498,144,†,249,249,41.83,11.91,173474003631,17
ADLER PARK SCHOOL,Illinois,1722800,60048,1-Regular school,2-No,2-No,2-No,247,20,†,121,126,21.15,11.68,172280005318,17
