School Name,State Name [Public School] Latest available year,Agency ID - NCES Assigned [Public School] Latest available year,Location ZIP [Public School] 2018-19,School Type [Public School] 2018-19,Charter School [Public School] 2018-19,Magnet School [Public School] 2018-19,Shared Time School [Public School] 2018-19,Total Students All Grades (Excludes AE) [Public School] 2018-19,Free and Reduced Lunch Students [Public School] 2018-19,Grades 9-12 Students [Public School] 2018-19,Male Students [Public School] 2018-19,Female Students [Public School] 2018-19,Full-Time Equivalent (FTE) Teachers [Public School] 2018-19,Pupil/Teacher Ratio [Public School] 2018-19,School ID - NCES Assigned [Public School] Latest available year,ANSI/FIPS State Code [Public School] Latest available year
MANTENO ELEM SCHOOL,Illinois,1724390,60950,1-Regular school,2-No,2-No,2-No,739,249,†,399,340,41.50,17.81,172439002646,17
MANTENO HIGH SCHOOL,Illinois,1724390,60950,1-Regular school,2-No,2-No,2-No,660,202,660,350,310,45.00,14.67,172439002647,17
MANTENO MIDDLE SCHOOL,Illinois,1724390,60950,1-Regular school,2-No,2-No,2-No,579,187,†,278,301,44.00,13.16,172439002648,17
MANUAL ACADEMY,Illinois,1731230,61605,1-Regular school,2-No,2-No,2-No,828,681,641,408,420,57.61,14.37,173123003274,17
MAPLE ELEM SCHOOL,Illinois,1718240,61111,1-Regular school,2-No,2-No,2-No,282,210,†,145,137,23.80,11.85,171824002103,17
MAPLE ELEM SCHOOL,Illinois,1719660,60942,1-Regular school,2-No,2-No,2-No,296,221,†,153,143,18.85,15.70,171966004665,17
MAPLE GROVE ELEM SCHOOL,Illinois,1700015,62960,1-Regular school,2-No,2-No,2-No,143,130,†,62,81,12.72,11.24,170001505227,17
MAPLE SCHOOL,Illinois,1724420,60062,1-Regular school,2-No,2-No,2-No,397,7,†,196,201,39.60,10.03,172442002649,17
MAPLEBROOK ELEM SCHOOL,Illinois,1727710,60565,1-Regular school,2-No,2-No,2-No,505,65,†,262,243,30.55,16.53,172771002936,17
MAPLEWOOD ELEM SCHOOL,Illinois,1708040,62206,1-Regular school,2-No,2-No,2-No,329,305,†,171,158,19.90,16.53,170804000415,17
MARENGO COMM MIDDLE SCHOOL,Illinois,1700077,60152,1-Regular school,2-No,2-No,2-No,341,134,†,168,173,21.00,16.24,170007703147,17
MARENGO HIGH SCHOOL,Illinois,1724570,60152,1-Regular school,2-No,2-No,2-No,665,186,665,364,301,46.58,14.28,172457002661,17
MARGARET MEAD JHS,Illinois,1734740,60007,1-Regular school,2-No,2-No,2-No,652,78,†,342,310,50.00,13.04,173474004428,17
MARIE MURPHY SCHOOL,Illinois,1704800,60091,1-Regular school,2-No,2-No,2-No,278,15,†,146,132,27.75,10.02,170480000043,17
MARIE SCHAEFER ELEM SCHOOL,Illinois,1729760,62269,1-Regular school,2-No,2-No,2-No,587,124,†,319,268,29.00,20.24,172976003767,17
MARINE ELEM SCHOOL,Illinois,1737350,62061,1-Regular school,2-No,2-No,2-No,136,29,†,82,54,13.10,10.38,173735003866,17
MARINE LEADERSHIP ACADEMY - AMES,Illinois,1709930,60647,1-Regular school,2-No,2-No,2-No,846,825,564,439,407,52.00,16.27,170993002618,17
MARION HIGH SCHOOL,Illinois,1724600,62959,1-Regular school,2-No,2-No,2-No,1107,535,1107,565,542,81.50,13.58,172460002666,17
MARION JORDAN ELEM SCHOOL,Illinois,1730420,60067,1-Regular school,2-No,2-No,2-No,479,42,†,251,228,30.80,15.55,173042003151,17
MARION JR HIGH SCHOOL,Illinois,1724600,62959,1-Regular school,2-No,2-No,2-No,856,462,†,452,404,53.10,16.12,172460002667,17
MARISSA ELEM SCHOOL,Illinois,1724650,62257,1-Regular school,2-No,2-No,2-No,320,195,†,159,161,23.50,13.62,172465004724,17
MARISSA JR & SR HIGH SCHOOL,Illinois,1724650,62257,1-Regular school,2-No,2-No,2-No,250,149,173,132,118,22.90,10.92,172465002672,17
MARK DELAY SCHOOL,Illinois,1721450,60561,1-Regular school,2-No,2-No,2-No,505,192,†,260,245,37.10,13.61,172145002413,17
MARK DENMAN ELEMENTARY SCHOOL,Illinois,1711790,61832,1-Regular school,2-No,2-No,2-No,680,574,†,364,316,45.50,14.95,171179005274,17
MARK TWAIN,Illinois,1703600,62002,1-Regular school,2-No,2-No,2-No,61,50,32,44,17,6.00,10.17,170360001473,17
MARK TWAIN ELEM SCHOOL,Illinois,1742210,60090,1-Regular school,2-No,2-No,2-No,471,279,†,248,223,33.70,13.98,174221004228,17
MARK TWAIN ELEM SCHOOL,Illinois,1713140,60714,1-Regular school,2-No,2-No,2-No,307,181,†,166,141,23.75,12.93,171314001551,17
MARK TWAIN ELEM SCHOOL,Illinois,1709600,61920,1-Regular school,2-No,2-No,2-No,240,136,†,142,98,13.47,17.82,170960000572,17
MARK TWAIN PRIMARY SCHOOL,Illinois,1720760,60901,1-Regular school,2-No,2-No,2-No,291,263,†,149,142,17.88,16.28,172076002367,17
MARK W BILLS MIDDLE SCHOOL,Illinois,1731230,61615,1-Regular school,2-No,2-No,2-No,207,127,1,109,98,14.08,14.70,173123005336,17
MARKHAM PARK ELEM SCHOOL,Illinois,1724720,60428,1-Regular school,2-No,2-No,2-No,313,299,†,166,147,14.82,21.12,172472002678,17
MARLOWE MIDDLE SCHOOL,Illinois,1719830,60156,1-Regular school,2-No,2-No,2-No,1372,186,†,696,676,99.00,13.86,171983005641,17
MAROA-FORSYTH GRADE SCHOOL,Illinois,1724750,61756,1-Regular school,2-No,2-No,2-No,558,132,†,277,281,32.80,17.01,172475004725,17
MAROA-FORSYTH MIDDLE SCHOOL,Illinois,1724750,61756,1-Regular school,2-No,2-No,2-No,255,65,†,135,120,14.00,18.21,172475002683,17
MAROA-FORSYTH SENIOR HIGH SCH,Illinois,1724750,61756,1-Regular school,2-No,2-No,2-No,379,70,379,186,193,23.00,16.48,172475002684,17
MARQUARDT MIDDLE SCHOOL,Illinois,1724780,60139,1-Regular school,2-No,2-No,2-No,792,756,†,397,395,63.49,12.47,172478002688,17
MARQUETTE ELEM SCHOOL,Illinois,1728920,61554,1-Regular school,2-No,2-No,2-No,226,142,†,118,108,15.50,14.58,172892003035,17
MARQUETTE ELEM SCHOOL,Illinois,1709930,60629,1-Regular school,2-No,2-No,2-No,1060,1019,†,570,490,65.00,16.31,170993000940,17
MARQUETTE ELEM SCHOOL,Illinois,1718240,61115,1-Regular school,2-No,2-No,2-No,299,178,†,164,135,18.10,16.52,171824002104,17
MARSEILLES ELEMENTARY SCHOOL,Illinois,1705466,61341,1-Regular school,2-No,2-No,2-No,519,275,†,266,253,38.38,13.52,170546605466,17
MARSH ELEM SCHOOL,Illinois,1709930,60617,1-Regular school,2-No,2-No,2-No,748,651,†,393,355,41.00,18.24,170993000939,17
MARSHALL HIGH SCHOOL,Illinois,1724870,62441,1-Regular school,2-No,2-No,2-No,379,112,379,196,183,30.16,12.57,172487002695,17
MARSHALL JR HIGH SCHOOL,Illinois,1724870,62441,1-Regular school,2-No,2-No,2-No,201,69,†,105,96,13.74,14.63,172487002696,17
MARSHALL METROPOLITAN HIGH SCHOOL,Illinois,1709930,60624,1-Regular school,2-No,1-Yes,2-No,251,243,251,123,128,27.00,9.30,170993000972,17
MARTIN ELEMENTARY SCHOOL,Illinois,1719830,60156,1-Regular school,2-No,2-No,2-No,887,127,†,457,430,53.00,16.74,171983004840,17
MARTIN L KING ELEM SCHOOL,Illinois,1718480,60426,1-Regular school,2-No,2-No,2-No,441,438,†,231,210,24.00,18.38,171848004405,17
MARTIN P MCKAY EDUCATION CENTER,Illinois,1700097,60451,2-Special education school,2-No,2-No,2-No,42,15,42,25,17,8.33,5.04,170009704503,17
MARTINSVILLE ELEM SCHOOL,Illinois,1724900,62442,1-Regular school,2-No,2-No,2-No,238,142,†,110,128,15.24,15.62,172490004727,17
MARTINSVILLE JR- SR HIGH SCHOOL,Illinois,1724900,62442,1-Regular school,2-No,2-No,2-No,167,95,100,90,77,14.56,11.47,172490002700,17
MARY ENDRES ELEMENTARY SCHOOL,Illinois,1743330,60098,1-Regular school,2-No,2-No,2-No,466,211,†,252,214,26.40,17.65,174333003178,17
MARY LOU COWLISHAW ELEMENTARY,Illinois,1741690,60540,1-Regular school,2-No,2-No,2-No,697,188,†,351,346,42.30,16.48,174169002094,17
MARY MILLER JUNIOR HIGH SCHOOL,Illinois,1700092,61846,1-Regular school,2-No,2-No,2-No,204,144,†,99,105,15.00,13.60,170009205256,17
MARY MORGAN ELEM SCH,Illinois,1708010,61010,1-Regular school,2-No,2-No,2-No,725,163,†,384,341,52.45,13.82,170801004559,17
MARY W FRENCH ACADEMY,Illinois,1711850,62522,1-Regular school,2-No,2-No,2-No,302,230,†,140,162,18.00,16.78,171185001406,17
MARYA YATES ELEMENTARY SCHOOL,Illinois,1736300,60443,1-Regular school,2-No,2-No,2-No,347,260,†,185,162,28.79,12.05,173630004834,17
MARYCREST EARLY CHILDHOOD CENTER,Illinois,1720580,60436,1-Regular school,2-No,2-No,2-No,425,3,†,251,174,20.00,21.25,172058002337,17
MARYVILLE ELEM SCHOOL,Illinois,1710650,62062,1-Regular school,2-No,2-No,2-No,351,110,†,195,156,18.24,19.24,171065001287,17
MARYVILLE ELEM SCHOOL,Illinois,1717280,62040,1-Regular school,2-No,2-No,2-No,405,240,†,207,198,25.00,16.20,171728002034,17
MASCOUTAH ELEM SCHOOL,Illinois,1724940,62258,1-Regular school,2-No,2-No,2-No,856,230,†,449,407,50.48,16.96,172494002705,17
MASCOUTAH HIGH SCHOOL,Illinois,1724940,62258,1-Regular school,2-No,2-No,2-No,1086,234,1086,584,502,66.34,16.37,172494002701,17
MASCOUTAH MIDDLE SCHOOL,Illinois,1724940,62258,1-Regular school,2-No,2-No,2-No,910,209,†,481,429,49.78,18.28,172494002702,17
MASON ELEM SCHOOL,Illinois,1709930,60623,1-Regular school,2-No,2-No,2-No,357,351,†,184,173,="0.00",†,170993000944,17
MASON/CLARK MIDDLE SCH,Illinois,1713320,62203,1-Regular school,2-No,2-No,2-No,749,743,†,406,343,50.45,14.85,171332004977,17
MASSAC COUNTY HIGH SCHOOL,Illinois,1725000,62960,1-Regular school,2-No,2-No,2-No,551,272,551,279,272,41.98,13.13,172500002713,17
MASSAC JR HIGH SCHOOL,Illinois,1725000,62960,1-Regular school,2-No,2-No,2-No,323,201,4,155,168,19.64,16.45,172500002708,17
MATHENY-WITHROW ELEM SCH,Illinois,1737080,62703,1-Regular school,2-No,2-No,2-No,254,187,†,124,130,26.00,9.77,173708003831,17
MATHER HIGH SCHOOL,Illinois,1709930,60659,1-Regular school,2-No,2-No,2-No,1486,1285,1486,834,652,96.50,15.40,170993000977,17
MATHERVILLE INTERMEDIATE SCHOOL,Illinois,1736180,61263,1-Regular school,2-No,2-No,2-No,225,78,†,112,113,14.45,15.57,173618003745,17
MATTESON ELEM SCHOOL,Illinois,1725020,60443,1-Regular school,2-No,2-No,2-No,406,378,†,223,183,30.83,13.17,172502002719,17
MATTHEWS MIDDLE SCHOOL,Illinois,1741190,60042,1-Regular school,2-No,2-No,2-No,437,171,†,222,215,31.97,13.67,174119005945,17
MATTOON HIGH SCHOOL,Illinois,1725050,61938,1-Regular school,2-No,2-No,2-No,954,453,954,492,462,52.00,18.35,172505002734,17
MATTOON MIDDLE SCHOOL,Illinois,1725050,61938,1-Regular school,2-No,2-No,2-No,747,406,†,392,355,50.00,14.94,172505002735,17
MAUD E JOHNSON ELEM SCHOOL,Illinois,1734510,61107,1-Regular school,2-No,2-No,2-No,449,271,†,234,215,24.70,18.18,173451003579,17
MAY ELEM SCHOOL,Illinois,1734260,61068,1-Regular school,2-No,2-No,2-No,202,18,†,114,88,16.60,12.17,173426003513,17
MAY WATTS ELEMENTARY SCHOOL,Illinois,1741690,60540,1-Regular school,2-No,2-No,2-No,629,37,†,323,306,38.40,16.38,174169005460,17
MAY WHITNEY ELEM SCHOOL,Illinois,1721900,60047,1-Regular school,2-No,2-No,2-No,581,116,†,315,266,40.70,14.28,172190002462,17
MAYA ANGELOU ELEM SCH,Illinois,1718450,60426,1-Regular school,2-No,2-No,2-No,243,241,†,122,121,16.00,15.19,171845002131,17
MAYER ELEM SCHOOL,Illinois,1709930,60614,1-Regular school,2-No,2-No,2-No,759,86,†,391,368,42.50,17.86,170993000950,17
MAYO MIDDLE SCHOOL,Illinois,1730750,61944,1-Regular school,2-No,2-No,2-No,275,175,†,129,146,21.65,12.70,173075005323,17
MAYS ELEM ACADEMY,Illinois,1709930,60621,1-Regular school,2-No,2-No,2-No,397,292,†,228,169,22.00,18.05,170993000651,17
MAZON-VERONA-KINSMAN ELEM SCHOOL,Illinois,1725190,60444,1-Regular school,2-No,2-No,2-No,169,59,†,85,84,14.34,11.79,172519002749,17
MAZON-VERONA-KINSMAN MIDDLE SCH,Illinois,1725190,60444,1-Regular school,2-No,2-No,2-No,138,57,†,78,60,10.82,12.75,172519002750,17
MCAULIFFE ELEM SCHOOL,Illinois,1709930,60647,1-Regular school,2-No,2-No,2-No,679,646,†,355,324,48.00,14.15,170993005547,17
MCCARTY ELEMENTARY SCHOOL,Illinois,1741690,60504,1-Regular school,2-No,2-No,2-No,527,176,†,279,248,35.80,14.72,174169005458,17
MCCLEAN CO DETENTION CENTER,ILLINOIS,1728620,61761,1-Regular school,2-No,2-No,2-No,10,4,9,7,3,–,†,172862006600,17
MCCLEERY ELEM SCHOOL,Illinois,1704710,60506,1-Regular school,2-No,2-No,2-No,592,391,†,308,284,38.38,15.42,170471000167,17
MCCLELLAN ELEM SCHOOL,Illinois,1709930,60609,1-Regular school,2-No,2-No,2-No,338,294,†,181,157,24.00,14.08,170993000952,17
MCCLELLAN ELEMENTARY SCHOOL,Illinois,1725260,62864,1-Regular school,2-No,2-No,2-No,58,32,†,33,25,6.60,8.79,172526002753,17
MCCLERNAND ELEM SCHOOL,Illinois,1737080,62702,1-Regular school,2-No,2-No,2-No,224,174,†,108,116,18.00,12.44,173708003832,17
MCCLURE JR HIGH SCHOOL,Illinois,1741820,60558,1-Regular school,2-No,2-No,2-No,490,3,†,253,237,44.44,11.03,174182004192,17
MCCORMICK ELEM SCHOOL,Illinois,1709930,60623,1-Regular school,2-No,2-No,2-No,609,545,†,322,287,42.00,14.50,170993000955,17
MCCUTCHEON ELEM SCHOOL,Illinois,1709930,60640,1-Regular school,2-No,2-No,2-No,370,319,†,204,166,35.50,10.42,170993000956,17
MCDADE ELEM CLASSICAL SCHOOL,Illinois,1709930,60619,1-Regular school,2-No,1-Yes,2-No,192,52,†,84,108,9.00,21.33,170993000957,17
MCDOWELL ELEM SCHOOL,Illinois,1709930,60619,1-Regular school,2-No,2-No,2-No,154,140,†,73,81,11.00,14.00,170993000839,17
MCELVAIN SCHOOL,Illinois,1727610,62966,1-Regular school,2-No,2-No,2-No,111,12,†,66,45,5.04,22.02,172761006218,17
MCGAUGHEY ELEM SCHOOL,Illinois,1727390,62549,1-Regular school,2-No,2-No,2-No,352,83,†,182,170,22.49,15.65,172739002907,17
MCHENRY  EAST HIGH SCHOOL,Illinois,1725320,60050,1-Regular school,2-No,2-No,2-No,700,205,700,347,353,52.00,13.46,172532002760,17
MCHENRY HIGH SCHOOL-WEST CAMPUS,Illinois,1725320,60050,1-Regular school,2-No,2-No,2-No,1443,483,1443,733,710,90.30,15.98,172532002761,17
MCHENRY MIDDLE SCHOOL,Illinois,1725290,60051,1-Regular school,2-No,2-No,2-No,762,277,†,416,346,59.00,12.92,172529002757,17
MCINTOSH ELEMENTARY,Illinois,1734510,61101,1-Regular school,2-No,2-No,2-No,348,305,†,187,161,24.00,14.50,173451003581,17
MCKAY ELEM SCHOOL,Illinois,1709930,60629,1-Regular school,2-No,2-No,2-No,772,737,†,394,378,44.50,17.35,170993000958,17
MCKENZIE ELEM SCHOOL,Illinois,1742600,60091,1-Regular school,2-No,2-No,2-No,430,13,†,205,225,32.00,13.44,174260004278,17
MCKINLEY ELEM SCHOOL,Illinois,1730300,61350,1-Regular school,2-No,2-No,2-No,351,141,†,179,172,24.10,14.56,173030003139,17
MCKINLEY ELEM SCHOOL,Illinois,1705760,60104,1-Regular school,2-No,2-No,2-No,373,370,†,192,181,33.05,11.29,170576000250,17
MCKINLEY ELEM SCHOOL,Illinois,1710200,60804,1-Regular school,2-No,2-No,2-No,164,139,†,81,83,10.75,15.26,171020001241,17
MCKINLEY ELEM SCHOOL,Illinois,1736720,60473,1-Regular school,2-No,2-No,2-No,204,164,†,106,98,8.00,25.50,173672001600,17
MCKINLEY ELEM SCHOOL,Illinois,1713710,60120,1-Regular school,2-No,2-No,2-No,387,336,†,195,192,22.10,17.51,171371001694,17
MCKINLEY JR HIGH SCHOOL,Illinois,1736720,60473,1-Regular school,2-No,2-No,2-No,373,277,†,178,195,22.00,16.95,173672003779,17
MCNAIR ELEM SCHOOL,Illinois,1709930,60651,1-Regular school,2-No,2-No,2-No,389,385,†,204,185,30.00,12.97,170993001191,17
MCPHERSON ELEM SCHOOL,Illinois,1709930,60640,1-Regular school,2-No,2-No,2-No,682,494,†,384,298,53.50,12.75,170993000959,17
MEADE PARK ELEM SCHOOL,Illinois,1711790,61834,1-Regular school,2-No,2-No,2-No,357,324,†,180,177,22.50,15.87,171179001391,17
MEADOW GLENS ELEMENTARY SCHOOL,Illinois,1727710,60565,1-Regular school,2-No,2-No,2-No,476,31,†,259,217,32.45,14.67,172771005437,17
MEADOW LANE SCHOOL,Illinois,1704560,60803,1-Regular school,2-No,2-No,2-No,181,91,†,96,85,15.60,11.60,170456000137,17
MEADOW RIDGE SCHOOL,Illinois,1730220,60467,1-Regular school,2-No,2-No,2-No,564,89,†,281,283,41.20,13.69,173022002530,17
MEADOW VIEW ELEMENTARY SCHOOL,Illinois,1731740,60586,1-Regular school,2-No,2-No,2-No,526,201,†,283,243,37.85,13.90,173174004206,17
MEADOWBROOK ELEM SCHOOL,Illinois,1728980,60062,1-Regular school,2-No,2-No,2-No,419,9,†,218,201,39.77,10.54,172898003039,17
MEADOWBROOK INTERMEDIATE SCH,Illinois,1706120,62067,1-Regular school,2-No,2-No,2-No,390,182,†,171,219,25.49,15.30,170612000301,17
MEADOWDALE ELEM SCHOOL,Illinois,1708550,60110,1-Regular school,2-No,2-No,2-No,401,315,†,177,224,28.94,13.86,170855000492,17
MEADOWVIEW  SCHOOL,Illinois,1711010,60478,1-Regular school,2-No,2-No,2-No,422,318,†,218,204,28.00,15.07,171101001331,17
MEADOWVIEW ELEM SCHOOL,Illinois,1717040,60517,1-Regular school,2-No,2-No,2-No,386,165,†,198,188,32.67,11.82,171704002013,17
MEADOWVIEW SCHOOL,Illinois,1717520,60030,1-Regular school,2-No,2-No,2-No,324,44,†,160,164,24.10,13.44,171752001752,17
MECHANICS GROVE ELEM SCHOOL,Illinois,1727540,60060,1-Regular school,2-No,2-No,2-No,541,198,†,250,291,37.44,14.45,172754002917,17
MEDGAR EVERS PRIMARY ACADMC CNTR,Illinois,1710950,60411,1-Regular school,2-No,2-No,2-No,290,282,†,156,134,15.50,18.71,171095001328,17
MEDINAH INTERMEDIATE SCHOOL,Illinois,1725500,60157,1-Regular school,2-No,2-No,2-No,208,69,†,101,107,13.25,15.70,172550002763,17
MEDINAH MIDDLE SCHOOL,Illinois,1725500,60172,1-Regular school,2-No,2-No,2-No,213,112,†,111,102,18.00,11.83,172550002762,17
MEDINAH PRIMARY SCHOOL,Illinois,1725500,60157,1-Regular school,2-No,2-No,2-No,241,88,†,123,118,16.15,14.92,172550002764,17
MEDORA INTERMEDIATE SCHOOL,Illinois,1731500,62063,1-Regular school,2-No,2-No,2-No,226,82,†,114,112,13.25,17.06,173150003318,17
MEEHAN ELEMENTARY SCHOOL,Illinois,1705790,61008,1-Regular school,2-No,2-No,2-No,609,331,†,312,297,37.75,16.13,170579001089,17
MELODY ELEM SCHOOL,Illinois,1709930,60624,1-Regular school,2-No,2-No,2-No,429,415,†,211,218,27.00,15.89,170993000963,17
MELROSE PARK ELEM SCHOOL,Illinois,1725110,60160,1-Regular school,2-No,2-No,2-No,735,227,†,356,379,48.60,15.12,172511002743,17
MELZER SCHOOL,Illinois,1713140,60053,1-Regular school,2-No,2-No,2-No,506,187,†,266,240,32.00,15.81,171314005276,17
MEMORIAL ELEM SCHOOL,Illinois,1738700,62568,1-Regular school,2-No,2-No,2-No,307,166,†,146,161,18.05,17.01,173870003934,17
MEMORIAL ELEM SCHOOL,Illinois,1739030,60477,1-Regular school,2-No,2-No,2-No,368,105,†,185,183,31.00,11.87,173903003961,17
MEMORIAL ELEMENTARY SCHOOL,Illinois,1730750,61944,1-Regular school,2-No,2-No,2-No,316,183,†,168,148,21.50,14.70,173075003196,17
MEMORIAL JR HIGH SCHOOL,Illinois,1722020,60438,1-Regular school,2-No,2-No,2-No,916,602,†,471,445,54.90,16.68,172202002470,17
MENDOTA TWP HIGH SCHOOL,Illinois,1725650,61342,1-Regular school,2-No,2-No,2-No,556,267,556,263,293,35.40,15.71,172565002775,17
MERCER COUNTY HIGH SCHOOL,Illinois,1701395,61231,1-Regular school,2-No,2-No,2-No,368,128,368,173,195,28.18,13.06,170139500018,17
MERCER COUNTY INTERMEDIATE SCHOOL,Illinois,1701395,61231,1-Regular school,2-No,2-No,2-No,219,84,†,108,111,17.57,12.46,170139506060,17
MERCER COUNTY JR HIGH SCHOOL,Illinois,1701395,61260,1-Regular school,2-No,2-No,2-No,199,80,†,112,87,16.16,12.31,170139506040,17
MEREDOSIA-CHAMBERSBURG ELEM SCH,Illinois,1725680,62665,1-Regular school,2-No,2-No,2-No,110,83,†,53,57,11.00,10.00,172568004736,17
MEREDOSIA-CHAMBERSBURG HIGH SCH,Illinois,1725680,62665,1-Regular school,2-No,2-No,2-No,47,24,47,24,23,10.50,4.48,172568002776,17
MEREDOSIA-CHAMBERSBURG JR HIGH,Illinois,1725680,62665,1-Regular school,2-No,2-No,2-No,38,25,†,22,16,2.00,19.00,172568002777,17
MERIDIAN ELEM SCHOOL,Illinois,1700123,62513,1-Regular school,2-No,2-No,2-No,486,191,†,239,247,29.43,16.51,170012300877,17
MERIDIAN ELEMENTARY SCHOOL,Illinois,1726970,62964,1-Regular school,2-No,2-No,2-No,328,323,†,162,166,16.88,19.43,172697002874,17
MERIDIAN HIGH SCHOOL,Illinois,1726970,62964,1-Regular school,2-No,2-No,2-No,111,111,111,57,54,10.00,11.10,172697002873,17
MERIDIAN HIGH SCHOOL,Illinois,1700123,62544,1-Regular school,2-No,2-No,2-No,259,69,259,130,129,21.00,12.33,170012300873,17
MERIDIAN JR HIGH SCHOOL,Illinois,1725690,61084,1-Regular school,2-No,2-No,2-No,386,98,†,186,200,23.54,16.40,172569002778,17
MERIDIAN MIDDLE SCHOOL,Illinois,1700123,62544,1-Regular school,2-No,2-No,2-No,252,91,†,128,124,16.29,15.47,170012300876,17
MERIDIAN SCHOOL,Illinois,1703900,60089,1-Regular school,2-No,2-No,2-No,647,43,†,320,327,47.65,13.58,170390000871,17
MERRILL ELEM SCHOOL,Illinois,1734350,61071,1-Regular school,2-No,2-No,2-No,286,201,†,151,135,19.65,14.55,173435003522,17
METAMORA GRADE SCHOOL,Illinois,1725740,61548,1-Regular school,2-No,2-No,2-No,893,163,†,484,409,56.28,15.87,172574002783,17
METAMORA HIGH SCHOOL,Illinois,1725770,61548,1-Regular school,2-No,2-No,2-No,997,162,997,518,479,65.00,15.34,172577002784,17
METCALFE ELEM COMMUNITY ACADEMY,Illinois,1709930,60628,1-Regular school,2-No,2-No,2-No,355,347,†,179,176,17.00,20.88,170993000675,17
METEA VALLEY HIGH SCHOOL,Illinois,1741690,60502,1-Regular school,2-No,2-No,2-No,2926,580,2926,1501,1425,184.54,15.86,174169006090,17
METROPOLIS ELEM SCHOOL,Illinois,1725000,62960,1-Regular school,2-No,2-No,2-No,529,518,†,284,245,34.50,15.33,172500002710,17
MICHAEL COLLINS ELEM SCHOOL,Illinois,1734740,60193,1-Regular school,2-No,2-No,2-No,777,61,†,399,378,50.33,15.44,173474003650,17
MICHAEL E BAUM ELEM SCHOOL,Illinois,1711850,62521,1-Regular school,2-No,2-No,2-No,316,206,†,146,170,17.50,18.06,171185001423,17
MICHELLE OBAMA SCH OF TECHNOLOGY,Illinois,1730810,60466,1-Regular school,2-No,2-No,2-No,536,465,†,242,294,41.75,12.84,173081003209,17
MID-VALLEY SATELLITE CLASSES,ILLINOIS,1700054,60174,2-Special education school,2-No,2-No,2-No,–,–,†,†,†,23.00,†,170005406629,17
MID-VALLEY TRANSITION PROGRAM,ILLINOIS,1700054,60174,2-Special education school,2-No,2-No,2-No,–,–,†,†,†,5.00,†,170005406638,17
MIDDLE FORK SCHOOL,Illinois,1740220,61834,2-Special education school,2-No,2-No,2-No,48,24,19,42,6,12.55,3.82,174022002205,17
MIDDLEFORK PRIMARY SCHOOL,Illinois,1738400,60093,1-Regular school,2-No,2-No,2-No,197,3,†,114,83,19.30,10.21,173840003917,17
MIDDLEFORK SCHOOL RSSP,Illinois,1700211,61834,4-Alternative/other school,2-No,2-No,2-No,9,8,4,5,4,–,†,170021103291,17
MIDDLETOWN PRAIRIE ELEMENTARY,Illinois,1724060,61853,1-Regular school,2-No,2-No,2-No,765,178,†,384,381,41.00,18.66,172406000683,17
MIDLAND ELEMENTARY SCHOOL,Illinois,1700126,61540,1-Regular school,2-No,2-No,2-No,291,122,†,139,152,18.50,15.73,170012601488,17
MIDLAND HIGH SCHOOL,Illinois,1700126,61375,1-Regular school,2-No,2-No,2-No,195,61,195,104,91,16.50,11.82,170012601479,17
MIDLAND MIDDLE SCHOOL,Illinois,1700126,61565,1-Regular school,2-No,2-No,2-No,212,99,†,122,90,14.00,15.14,170012601482,17
MIDWAY SCHOOL,Illinois,1713530,62067,1-Regular school,2-No,2-No,2-No,150,23,†,86,64,9.18,16.34,171353004625,17
MIDWEST CENTRAL HIGH SCHOOL,Illinois,1743962,61546,1-Regular school,2-No,2-No,2-No,319,154,319,148,171,23.47,13.59,174396205578,17
MIDWEST CENTRAL MIDDLE SCHOOL,Illinois,1743962,61534,1-Regular school,2-No,2-No,2-No,195,100,†,96,99,14.71,13.26,174396201455,17
MIDWEST CENTRAL PRIMARY SCHOOL,Illinois,1743962,61546,1-Regular school,2-No,2-No,2-No,421,228,†,221,200,32.39,13.00,174396205580,17
MIGUEL JUAREZ MIDDLE SCHOOL,Illinois,1741250,60085,1-Regular school,2-No,2-No,2-No,764,490,†,382,382,44.00,17.36,174125001753,17
MILFORD GRADE SCHOOL EAST CAMPUS,ILLINOIS,1701416,60966,1-Regular school,2-No,2-No,2-No,–,–,†,†,†,–,–,170141606312,17
MILFORD GRADE SCHOOL WEST CAMPUS,ILLINOIS,1701416,60953,1-Regular school,2-No,2-No,2-No,372,195,†,207,165,30.00,12.40,170141602789,17
MILFORD HIGH SCHOOL CAMPUS,ILLINOIS,1701416,60953,1-Regular school,2-No,2-No,2-No,165,73,165,75,90,20.50,8.05,170141602790,17
MILL CREEK SCHOOL,Illinois,1716380,60134,1-Regular school,2-No,2-No,2-No,457,9,†,231,226,29.13,15.69,171638001743,17
MILL STREET ELEM SCHOOL,Illinois,1727710,60563,1-Regular school,2-No,2-No,2-No,644,167,†,331,313,46.79,13.76,172771002937,17
MILLBROOK JUNIOR HIGH SCHOOL,Illinois,1728270,60541,1-Regular school,2-No,2-No,2-No,116,25,†,53,63,6.12,18.95,172827005319,17
MILLBURN ELEM SCHOOL,Illinois,1726100,60083,1-Regular school,2-No,2-No,2-No,712,109,†,376,336,54.40,13.09,172610002792,17
MILLBURN MIDDLE SCHOOL,Illinois,1726100,60046,1-Regular school,2-No,2-No,2-No,443,66,†,233,210,33.50,13.22,172610005621,17
MILLEDGEVILLE ELEM SCHOOL,Illinois,1709400,61051,1-Regular school,2-No,2-No,2-No,156,41,†,70,86,11.90,13.11,170940005406,17
